PointBiserialCoefficient	AttributeName
0.9387384014647038	TriS_CGscore
0.6691065627765124	id
0.6609654457566487	misZ_ExAC
0.6094078636466781	synZ_ExAC
0.5065465385962473	pLI_ExAC
0.49572795232255196	promoters_count
0.4956752182626423	gene_count
0.45049037615557164	length
0.44513582777692806	morbidGene_count
0.41986960927340433	ExAC_zScore_pLI
0.4028136311580933	cnvZ_ExAC
0.3951399372073989	dupZ_ExAC
0.3847290031799181	delZ_ExAC
0.3593999609896992	HI_CGscore
-0.35288342916138016	GD_AF
-0.35256025841034977	GD_POPMAX_AF
-0.35105949899489314	IMH_AF
0.3092057930823735	HI_DDDpercent
-0.29454572508798105	min_D_Frequency_3
-0.29454572508798105	min_D_Frequency_2
-0.29454572508798105	DGV_GAIN_Frequency
0.27455170325034395	ExAc_zScore_cnv
0.27347464626174034	ExAC_zScore_indel
-0.2704902766530197	DGV_GAIN_n_samples_tested
-0.22838109447106347	1000g_AF
-0.22723360841732215	1000g_max_AF
-0.19874449165333405	DGV_LOSS_Frequency
-0.17275570361102086	DGV_LOSS_n_samples_tested
-0.09645774318305694	DGV_LOSS_n_samples_with_SV
-0.06910330491790531	DGV_GAIN_n_samples_with_SV
	CGscore_indel_gene_count_2
	CGscore_indel_gene_count
	HI_DDDperc_haploinsufficient_gene_count
